Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07
34400,,6298,599,05-08-2017 08:15:44,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,03,07,40,44,CB,18,99
34418,,6298,655,05-08-2017 08:15:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,0B,07,3C,38,F9,97,4D
34400,,6298,599,05-08-2017 08:16:40,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,00,01,33,32,AF,27,84
34418,,6298,655,05-08-2017 08:16:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,00,01,45,44,98,9D,F0
34403,,6298,481,05-08-2017 08:18:05,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,01,2B,07,2D,E3,8E,38
34406,,6298,480,05-08-2017 08:19:01,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,13,C8,3E,C2,99,68,51
34407,,6298,417,05-08-2017 08:19:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,03,07,3C,38,B0,36,97
34406,,6298,480,05-08-2017 08:19:57,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,03,07,3C,38,E9,5D,16
34403,,6298,481,05-08-2017 08:20:05,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,03,06,6B,6E,8A,2E,2E
34407,,6298,417,05-08-2017 08:20:43,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,00,01,4F,4A,D7,0C,5F
34403,,6298,481,05-08-2017 08:20:59,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,00,01,3B,3A,99,6E,49
34406,,6298,480,05-08-2017 08:21:01,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,00,01,F5,F4,D5,02,FE
34400,,6298,599,05-08-2017 08:21:44,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,01,30,85,B4,A6,DF,09
34407,,6298,417,05-08-2017 08:21:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,01,30,81,B0,61,BC,44
34406,,6298,480,05-08-2017 08:21:57,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,01,30,A4,95,B0,EB,76
34403,,6298,481,05-08-2017 08:22:05,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,01,2B,0B,21,A0,AB,B5
34400,,6298,599,05-08-2017 08:22:39,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,02,CA,1B,D3,12,D1,6F
34418,,6298,655,05-08-2017 08:22:46,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,02,C8,1C,D6,E2,CF,DF
34407,,6298,417,05-08-2017 08:22:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,02,CA,1B,D3,AB,9F,9F
34406,,6298,480,05-08-2017 08:23:01,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,02,C8,1B,D1,C3,6E,D3
34403,,6298,481,05-08-2017 08:23:06,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,02,C7,1C,D9,CB,C8,9C
34400,,6298,599,05-08-2017 08:23:45,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,03,07,40,44,8C,30,CD
34407,,6298,417,05-08-2017 08:23:47,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,03,07,3C,38,D9,51,53
34418,,6298,655,05-08-2017 08:23:50,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,03,07,3C,38,2B,64,00
34406,,6298,480,05-08-2017 08:23:59,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:21:29,22.41774,44.68881,0.189,,,0,401664002.43,22.41774,44.68881,22.41774,44.68881,58,3,1,8,0,-121,664002.4,2813,127219,62,100,2063,03,07,3C,38,D5,26,07
34403,,6298,481,05-08-2017 08:24:04,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:39,22.6795,44.63194,0.124,,,0,401663624.58,22.6795,44.63194,22.6795,44.63194,45,3,1,8,0,-121,663624.6,19495,869697,437,101,3978,03,06,6B,6E,E3,25,CB
34400,,6298,599,05-08-2017 08:24:45,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:23:21,22.50065,44.66899,0.263,,,0,401663742.91,22.50065,44.66899,22.50065,44.66899,45,3,1,7,0,-121,663742.9,18882,0,282,101,2859,00,01,A3,A2,E1,07,82
34418,,6298,655,05-08-2017 08:24:48,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:45,22.42394,44.68581,0.382,,,0,401664016.55,22.42394,44.68581,22.42394,44.68581,48,3,1,6,0,-121,664016.6,16903,734467,389,101,2452,00,01,7D,7C,94,69,0D
34407,,6298,417,05-08-2017 08:24:50,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,05-08-2017 08:22:12,22.44063,44.68462,0.330,,,0,401663970.57,22.44063,44.68462,22.44063,44.68462,58,3,1,8,0,-121,663970.6,3429,152489,77,100,2501,00,01,73,72,A4,9D,7B
