Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07
34400,,6298,420,20-08-2017 07:02:01,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:01,27.63522,44.63984,0.044,,,0,401663780.74,27.63522,44.63984,27.63522,44.63984,40,3,1,7,0,-120,663780.7,1748,2984,1023,109,129,03,09,57,5D,8E,5E,26
34418,,6298,360,20-08-2017 07:02:28,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:06:57,27.68231,44.52382,0.089,,,0,401663969.31,27.68231,44.52382,27.68231,44.52382,40,2,1,7,1,-119,663969.3,4171,9541,1822,112,146,00,11,E9,E8,92,8E,17
34406,,6298,484,20-08-2017 07:02:43,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:16,27.62254,44.6128,0.044,,,1,401663978.94,27.62254,44.6128,27.62254,44.6128,40,3,1,5,0,-120,663978.9,1414,2201,907,88,142,00,01,31,30,80,81,57
34407,,6298,481,20-08-2017 07:02:48,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:32,27.61779,44.6292,0.047,,,1,401663969.48,27.61779,44.6292,27.61779,44.6292,40,3,1,6,0,-121,663969.5,1078,1831,634,102,131,02,01,20,21,AC,74,B9
34403,,6298,539,20-08-2017 07:02:53,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,00,01,91,90,E7,1D,46
34418,,6298,360,20-08-2017 07:03:22,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:06:57,27.68231,44.52382,0.089,,,0,401663969.31,27.68231,44.52382,27.68231,44.52382,40,2,1,7,1,-119,663969.3,4171,9541,1822,112,146,01,3B,E6,DC,9D,71,78
34407,,6298,481,20-08-2017 07:03:42,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:32,27.61779,44.6292,0.047,,,1,401663969.48,27.61779,44.6292,27.61779,44.6292,40,3,1,6,0,-121,663969.5,1078,1831,634,102,131,01,3B,87,BD,AA,89,85
34403,,6298,539,20-08-2017 07:03:53,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,01,36,6D,5A,D0,5C,74
34400,,6298,420,20-08-2017 07:04:03,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:01,27.63522,44.63984,0.044,,,0,401663780.74,27.63522,44.63984,27.63522,44.63984,40,3,1,7,0,-120,663780.7,1748,2984,1023,109,129,01,3B,CB,F1,7A,D0,FF
34418,,6298,360,20-08-2017 07:04:28,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:06:57,27.68231,44.52382,0.089,,,0,401663969.31,27.68231,44.52382,27.68231,44.52382,40,2,1,7,1,-119,663969.3,4171,9541,1822,112,146,02,C2,10,D0,E6,55,6A
34406,,6298,484,20-08-2017 07:04:45,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:16,27.62254,44.6128,0.044,,,1,401663978.94,27.62254,44.6128,27.62254,44.6128,40,3,1,5,0,-120,663978.9,1414,2201,907,88,142,02,C2,10,D0,F4,F3,28
34407,,6298,481,20-08-2017 07:04:48,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:32,27.61779,44.6292,0.047,,,1,401663969.48,27.61779,44.6292,27.61779,44.6292,40,3,1,6,0,-121,663969.5,1078,1831,634,102,131,02,C6,10,D4,95,3A,83
34403,,6298,539,20-08-2017 07:04:51,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,02,C2,10,D0,D3,84,44
34400,,6298,420,20-08-2017 07:04:59,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:01,27.63522,44.63984,0.044,,,0,401663780.74,27.63522,44.63984,27.63522,44.63984,40,3,1,7,0,-120,663780.7,1748,2984,1023,109,129,02,C5,10,D7,E2,E0,AB
34418,,6298,360,20-08-2017 07:05:28,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:06:57,27.68231,44.52382,0.089,,,0,401663969.31,27.68231,44.52382,27.68231,44.52382,40,2,1,7,1,-119,663969.3,4171,9541,1822,112,146,03,09,53,59,B4,BE,B6
34406,,6298,484,20-08-2017 07:05:47,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:16,27.62254,44.6128,0.044,,,1,401663978.94,27.62254,44.6128,27.62254,44.6128,40,3,1,5,0,-120,663978.9,1414,2201,907,88,142,03,09,53,59,95,0B,AF
34400,,6298,420,20-08-2017 07:06:03,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:01,27.63522,44.63984,0.044,,,0,401663780.74,27.63522,44.63984,27.63522,44.63984,40,3,1,7,0,-120,663780.7,1748,2984,1023,109,129,03,09,57,5D,3A,BF,01
34418,,6298,360,20-08-2017 07:06:26,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:06:57,27.68231,44.52382,0.089,,,0,401663969.31,27.68231,44.52382,27.68231,44.52382,40,2,1,7,1,-119,663969.3,4171,9541,1822,112,146,00,01,E9,E8,98,6C,95
34407,,6298,481,20-08-2017 07:06:46,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:32,27.61779,44.6292,0.047,,,1,401663969.48,27.61779,44.6292,27.61779,44.6292,40,3,1,6,0,-121,663969.5,1078,1831,634,102,131,00,01,20,21,EA,2F,D1
34403,,6298,539,20-08-2017 07:06:53,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,00,01,91,90,87,40,A9
34400,,6298,420,20-08-2017 07:06:59,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:01,27.63522,44.63984,0.044,,,0,401663780.74,27.63522,44.63984,27.63522,44.63984,40,3,1,7,0,-120,663780.7,1748,2984,1023,109,129,00,01,35,34,87,20,57
34418,,6298,360,20-08-2017 07:07:28,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:06:57,27.68231,44.52382,0.089,,,0,401663969.31,27.68231,44.52382,27.68231,44.52382,40,2,1,7,1,-119,663969.3,4171,9541,1822,112,146,01,3B,EA,D0,E2,35,60
34406,,6298,484,20-08-2017 07:07:47,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:16,27.62254,44.6128,0.044,,,1,401663978.94,27.62254,44.6128,27.62254,44.6128,40,3,1,5,0,-120,663978.9,1414,2201,907,88,142,01,3B,B2,88,C3,69,73
34407,,6298,481,20-08-2017 07:07:48,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:32,27.61779,44.6292,0.047,,,1,401663969.48,27.61779,44.6292,27.61779,44.6292,40,3,1,6,0,-121,663969.5,1078,1831,634,102,131,01,3B,8B,B1,C9,93,0E
34403,,6298,539,20-08-2017 07:07:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,01,36,71,46,99,E9,27
34400,,6298,420,20-08-2017 07:08:03,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:01,27.63522,44.63984,0.044,,,0,401663780.74,27.63522,44.63984,27.63522,44.63984,40,3,1,7,0,-120,663780.7,1748,2984,1023,109,129,01,3B,CF,F5,C2,7D,42
34418,,6298,360,20-08-2017 07:08:28,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:06:57,27.68231,44.52382,0.089,,,0,401663969.31,27.68231,44.52382,27.68231,44.52382,40,2,1,7,1,-119,663969.3,4171,9541,1822,112,146,02,C2,10,D0,C2,9C,B8
34403,,6298,539,20-08-2017 07:08:53,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,02,C2,10,D0,DA,6C,65
34400,,6298,420,20-08-2017 07:09:01,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:01,27.63522,44.63984,0.044,,,0,401663780.74,27.63522,44.63984,27.63522,44.63984,40,3,1,7,0,-120,663780.7,1748,2984,1023,109,129,02,C6,10,D4,8A,AC,B9
34403,,6298,539,20-08-2017 07:09:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,03,08,82,89,D0,A0,2E
34406,,6298,484,20-08-2017 07:10:47,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:16,27.62254,44.6128,0.044,,,1,401663978.94,27.62254,44.6128,27.62254,44.6128,40,3,1,5,0,-120,663978.9,1414,2201,907,88,142,00,01,31,30,E8,EE,23
34407,,6298,481,20-08-2017 07:10:49,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:07:32,27.61779,44.6292,0.047,,,1,401663969.48,27.61779,44.6292,27.61779,44.6292,40,3,1,6,0,-121,663969.5,1078,1831,634,102,131,00,01,22,21,B7,AA,9C
34403,,6298,539,20-08-2017 07:11:52,NK,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:08:21,27.61952,44.61853,0.045,,,1,401663648.06,27.61952,44.61853,27.61952,44.61853,40,3,1,8,0,-121,663648.1,852,1201,604,96,112,01,36,75,42,B6,44,3C
34403,,6298,360,20-08-2017 07:20:54,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:23:08,27.64301,44.61038,0.045,,,3,401663652.33,27.64301,44.61038,27.64301,44.61038,56,3,1,4,0,-122,663652.3,177,209,149,23,315,02,C3,11,D0,DE,EF,22
34403,,6298,360,20-08-2017 07:21:50,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:23:08,27.64301,44.61038,0.045,,,3,401663652.33,27.64301,44.61038,27.64301,44.61038,56,3,1,4,0,-122,663652.3,177,209,149,23,315,03,08,82,8D,72,FA,FF
34400,,6298,416,20-08-2017 07:22:04,SR,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:25:32,27.63728,44.61082,0.045,,,3,401663769.49,27.63728,44.61082,27.63728,44.61082,56,3,1,6,1,-119,663769.5,242,578,101,60,248,03,09,17,DD,EF,8A,C7
